DocumentID,TokenIDs
1,285 121 200 165 174 203 223 1066 188 159 26 108 86 22 251 253 238 116 238 29 277 2137 84 260 1066 27 201 46 260 1066 42 115 287 171 3 103 272 77 187 185 262 120 71 139 162 235 30 54 1066 2 172 133 2850 148 37 224 247 179 124 219 126 2850 129 180 1066 1066 47 261 150 190 127 55 169 65 207 3906 82 209 207 104 1066 151 161 36 177 144 178 207 290 147 117 188 1506 83 124 211 3874 0 203 5093 2850 28 149 290 267 207 44 25 249 167 12 280 199 243 49 248 1066 57 199 254 203 164 132 125 1066 1109 85 891 42 1066 96 175 449 6060 223 97 3536 56 255 1066 242 205 154 79 208 1 225 229 279 45 3906 41 3536 117 1066 117 194 140 135 186 193 74 213 1066 88 22 239 113 279 3906 157 111 107 279 1041 125 102 1066 4 64 176 67 3906 222 118 3906 178 71 80 182 2710 1066 72 1066 70 189 281 878 196 184 17 31 101 1066 134 263 252 275 23 284 129 38 183 290 131 250 1944 5 155 271 20 1066 163 44 15 2850 269 156 449 68 197 145 70 1879 3921 6 36 92 7 878 1066 8 207 68 158 3906 198 207 3906 69 2850 198 110 3906 273 2850 69 268 276 3906 19 1066 274 60 2850 3625 158 215 3906 231 73 191 270 1066 246 39 283 160 279 146 9 158 1066 1066 163 163 138 35 449 158 290 1066 216 75 99 226 106 18 59 1066 16 5 1066 135 24 81 3906 217 206 1066 61 3906 278 1066 50 135 153 3906 449 114 251 1066 240 2089 173 3906 264 21 135 234 1066 265 207 174 203 223 62 40 109 33
2,551 320 304 1066 559 579 354 284 129 285 576 320 284 131 347 29 356 295 519 1997 37 255 1066 411 72 1066 70 507 478 1066 533 70 383 446 2850 509 350 555 538 298 570 509 509 350 555 306 1066 70 298 432 70 478 432 1066 533 114 298 492 312 538 306 2850 312 22 1066 366 521 538 306 494 339 463 322 495 496 444 551 29 355 334 320 292 469 318 36 1109 425 425 310 1066 410 299 5285 320 136 465 370 579 489 355 2850 513 401 593 238 29 291 582 136 465 320 7 3477 36 310 368 583 421 596 358 308 561 1066 477 50 5285 392 515 341 122 593 238 29 460 2850 590 54 1066 310 471 589 9 2642 401 2850 551 310 428 1429 542 1066 325 501 540 1066 369 5332 1066 398 415 427 556 494 279 1066 565 499 551 435 501 1066 530 542 389 2850 337 552 501 338 1066 413 494 468 363 137 371 531 2850 459 2850 1835 479 581 2850 494 418 494 483 1066 551 5285 320 479 494 581 145 505 401 2850 462 329 122 424 2850 421 423 562 391 122 544 1995 401 548 551 1019 572 9 2642 551 558 363 401 433 495 520 494 483 1066 458 551 452 481 131 320 494 581 483 1066 551 363 551 539 495 131 351 436 23 502 424 9 2642 7 1066 317 544 5285 334 320 499 551 501 401 396 537 346 369 2850 336 551 305 427 429 397 2850 344 580 429 544 373 574 566 564 568 377 573 379 1066 290 508 3782 312 2850 598 289 878 1066 431 506 9 2642 28 285 380 527 165 514 577 551 9 2642 1066 28 299 374 528 2850 402 323 358 592 2850 534 290 131 334 320 1066 2850 484 146 347 309 569 487 5602 1802 2850 9 2642 516 131 408 314 35 2850 2382 28 593 2850 292 349 416 453 131 357 2850 372 309 419 2850 439 345 34 50 131 473 921 467 2382 2850 472 589 549 2850 550 92 480 487 131 2850 442 526 1835 480 487 1066 381 3536 448 921 414 284 251 1066 184 98 487 35 1019 486 9 2642 136 461 5285 9 2642 136 102 1066 498 397 438 103 335 440 403 591 313 37 5990 378 2850 343 393 3536 1066 512 455 1066 404 554 545 594 525 388 1066 447 5285 9 2642 310 488 584 403 612 292 122 921 9 2642 498 397 474 332 395 437 136 510 451 320 92 573 574 359 2850 511 595 445 305 466 560 104 475 269 518 333 574 452 599 595 445 585 2850 407 517 294 3020
3,659 680 198 679 3906 119 551 2850 624 778 692 2710 1066 679 551 604 198 685 2137 118 1506 713 727 776 1526 421 556 2760 606 969 749 680 753 445 290 723 2850 551 688 551 666 1066 2850 100 1066 776 430 551 358 776 779 1066 551 260 1066 80 671 6128 701 198 445 769 711 668 738 753 449 733 6060 2850 239 770 93 1066 622 641 605 709 748 290 140 753 445 671 616 472 615 631 421 753 1066 508 207 810 534 415 791 2850 676 680 734 3536 774 712 243 725 1066 775 551 746 760 415 2850 680 637 612 776 777 631 215 604 198 753 652 103 786 760 753 780 760 751 679 680 3392 686 781 805 190 1066 571 551 777 765 1066 2850 100 806 675 198 754 2710 628 801 782 2850 608 740 755 699 312 741 682 564 2850 726 1066 4227 793 794 767 66 753 759 2850 730 2850 198 653 2850 551 735 669 753 758 609 658 2850 654 7402 259 600 800 551 104 747 667 747 623 193 643 2850 800 551 753 653 636 1066 646 669 1835 36 672 667 36 604 198 7402 419 730 193 2850 2850 741 653 784 119 600 551 601 2850 704 669 297 648 655 753 679 2850 229 731 2850 551 678 656 458 633 580 613 633 678 752 667 718 660 81 720 81 1066 614 739 741 1066 702 626 650 81 719 741 7262 790 722 2850 565 644 705 771 2850 292 1066 553 1066 265 706 6730 703 756 81 719 741 567 2850 346 683 292 741 508 635 44 691 661 787 655 753 679 1066 146 617 2850 753 652 721 571 753 673 1066 679 1066 753 6060 2425 679 672 756 642 741 787 2850 741 724 292 741 650 729 715 741 650 741 757 680 551 807 215 665 89 707 659 803 1066 670 812 808 3536 2850 124 551 634 2850 780 814 630 662 723 621 567 693 602 797 659 679 680 652 104 718 804 646 445 690 50 663 101 1066 646 2850 124 732 742 718 674 2850 659 664 651 632 708 611 743 551 659 3906 647 551 1066 104 795 145 798 679 718 679 772 551
4,824 825 817 826 1066 822 589 381 820 1888 819
5,840 834 886 457 828 888 880 863 832 551 851 867 188 835 867 857 877 34 189 649 830 546 52 848 893 879 838 1835 859 849 303 817 884 853 188 840 834 189 841 2850 82 872 840 834 881 215 886 457 2850 854 290 44 224 888 880 1066 831 844 850 873 888 880 1066 831 850 873 828 842 888 880 863 832 551 836 101 1066 53 19 852 893 879 1802 839 36 649 840 834 292 682 852 20 1066 848 888 880 551 2850 846 458 861 551 866 458 861 551 1066 871 682 1066 890 784 449 1066 885 458 861 2850 551 305 458 305 553 865 123 887 891 36 840 834 892 292 682 852 888 880 458 861 3356 123 865 845 891 104 292 682 1066 190 852 847 840 834 20 869 374 2850 52 876 195 885 374 458 667 551 893 879 4847 5659 882 893 827 864 195 840 834 858 551 709 840 834 858 551 709 862 659 839 875 704 1888 840 834
6,952 701 9 2710 1066 1995 1040 94 190 285 942 972 995 701 986 35 349 1018 50 1002 117 930 926 9 2642 284 982 449 905 1007 1008 931 817 329 976 9 2642 284 449 6060 1028 1066 36 238 29 297 9 2642 701 449 238 1049 9 1007 1008 931 1835 1344 6 5634 1066 210 158 98 349 168 994 1835 961 1066 1003 284 35 1835 994 103 297 1036 916 1005 1004 1066 1005 987 946 701 36 952 9 197 154 950 188 58 36 906 9 9 2850 103 346 5634 1066 210 158 92 967 2850 103 346 896 1044 923 925 238 29 1006 238 29 9 122 1050 2850 1001 1835 98 487 2850 956 762 921 36 596 358 238 29 36 900 267 927 22 2850 949 22 284 978 990 1008 931 1835 965 7402 943 571 2850 487 1066 1044 1066 958 1019 1066 965 1032 965 925 284 1066 1017 1048 965 958 2850 190 1066 1007 1008 931 701 36 449 6060 984 449 988 2850 207 1000 158 960 451 247 34 247 606 188 251 701 36 1835 72 1066 969 583 320 1066 974 1033 278 1066 98 487 1014 520 606 919 1034 701 36 945 954 989 991 36 252 907 36 1066 252 989 1046 6128 871 252 980 910 3906 975 868 354 932 989 1050 3020 238 29 701 6060 392 88 952 903 238 29 1066 985 912 103 970 1066 512 701 36 2425 985 145 2850 898 935 279 918 979 229 207 966 9 649 206 1066 947 1066 1011 247 936 9 122 50 341 515 3906 997 1066 947 1066 696 247 899 936 238 29 1066 1024 145 34 1016 959 3906 628 3906 701 36 1066 924 238 29 9 1050 3020 1066 1015 35 9 701 36 343 1066 184 944 981 35 963 9 29 1020 1026 701 36 34 998 360 45 1066 1013 726 1013 1031 1013 251 701 36 1066 584 392 964 392 964 955 411 920 913 928 3906 251 1066 184 878 1038 1025 971 238 29 3874 117 1021 140 939 1109 937 914 1066 635 897 999 529 1020 224 968 251 1066 951 1022 1066 915 34 1066 996 1027 1047
7,1066 21 830 1099 1155 619 2089 285 1090 1135 165 142 99 1066 696 2042 619 290 36 1156 815 575 1127 99 3906 221 1152 3906 1190 181 2086 697 1073 1111 449 1099 83 1164 2048 1066 1109 1052 2857 1140 2857 550 449 1066 1187 36 1066 221 1170 696 1138 1143 104 18 1165 1066 1189 612 58 1162 1094 1066 227 205 1077 3906 805 190 1066 878 1092 1146 1094 870 869 99 188 220 181 188 3906 119 36 193 1113 1119 1113 1119 1103 1113 2850 1057 343 1066 205 604 2850 3536 124 3906 819 6730 670 1066 815 1161 1169 117 1175 1041 221 1181 1128 3906 435 1066 1096 224 584 1151 1123 1073 1192 104 697 449 1066 227 1077 1066 1109 449 1066 227 117 449 227 3698 6085 5069 1073 1106 117 3759 1103 606 969 2857 224 224 3906 1076 2850 393 523 1097 1066 1097 582 1041 815 1167 1175 1041 206 1066 728 5513 1124 1179 1066 1148 1161 1066 152 36 206 619 1054 1168 649 158 649 3906 1161 619 84 749 1086 649 1073 619 178 136 1066 1078 1121 117 449 178 188 58 3536 780 1041 449 1066 58 872 1094 117 2850 619 1078 890 784 285 1141 165 619 1078 10 343 206 449 1067 188 835 206 612 104 1163 1059 1092 1139 206 1133 1099 1187 1066 53 1066 435 1079 1066 639 2850 206 3906 178 1153 1066 822 1066 951 343 1064 1093 626 619 1078 1150 1161 176 619 36 1093 58 1188 1182 1119 1073 1177 1105 694 3906 1109 1183 815 612 1071 1120 34 942 1174 36 206 619 1120 36 1104 3906 205 1159 2850 619 815 830 1084 628 205 5819 435 152 1066 205 619 1144 53 1066 36 815 3906 645 15 942 942 773 713 449 6060 863 951 715 1066 1145 82 715 1115 1072 619 681 1110 2850 1099 1158 2850 619 1161 1147 2850 1154 1158 619 681 36 815 1143 152 58 190 713 1061 181 449 1143 1014 1125 891 188 227 158 2850 1131 1073 1098 1066 189 19 2850 347 1108 1075 36 1093 619 3906 815 1176 1103 1065 1066 1116 1107 773 2850 619 3906 1109 449 1066 813 695 695 206 1066 835 343 1066 796 1041 224 1099 1155 117 449 619 681 1185 1068 361 1129 1080 290 1126 749 449 1091 1041 619 1161 1089 449 1067 1041 1095 1066 1093 619 44 290 285 1082 1172 165 1130 36 1066 1053 1142 867 188 1066 290 3906 97 1114 1117 749 1109 343 1066 1178 1112 1100 822 1081 1066 1109 1081 36 3874 1055 104 1093 670 2692 1097 1076 2850 1060 681 1185 619 1099 3906 1191 1081 878 408 796 1066 439 1081 1132 1184 449 1193 1062 951 1118 188 619 181 3906 1149 1157 1186 205 205 99 221 1152 696 1126 1058
8,996 1395 1312 1298 1310 1225 2850 1213 996 1215 1312 1298 1310 1225 2850 1213 1314 1247 488 1237 770 2850 1326 1344 158 215 1230 733 1342 1269 1306 770 2850 1213 1271 1211 694 1 164 1226 1218 164 996 1395 1312 2850 1319 1066 166 1291 701 1226 1066 3092 5513 1066 1332 1283 1378 1313 2850 1386 1356 1251 1336 1218 1394 247 5332 1066 1347 4566 1386 1382 1268 1330 1360 594 960 1258 1216 1389 960 1359 1213 1066 1361 1288 1216 1389 1311 960 1203 2850 1310 1225 1272 1198 1216 960 1346 247 391 332 467 1389 1263 1292 2850 770 1216 770 1216 1222 1204 1066 387 1 1384 104 318 1061 1204 1066 1350 1353 1376 1226 1066 1260 1213 1357 387 2857 1384 1232 1058 594 960 1160 1066 1369 1226 1066 189 819 1238 1216 1327 870 1207 255 1066 878 1203 2850 146 1216 679 1066 332 1212 2850 1379 117 1310 770 1195 2850 1213 1205 343 1302 2850 1341 1066 1350 1353 1222 1175 1282 1310 1241 1376 1310 770 2850 2850 1365 1310 770 1383 923 224 2850 1244 1310 770 1366 847 1310 1196 1205 1080 1310 124 2382 1391 1310 770 2850 440 293 2425 1310 1066 1320 290 2850 459 1305 357 2382 1391 1310 770 1366 1310 1196 2850 551 1291 679 1276 960 488 1346 1066 221 5513 1066 1213 870 1310 770 65 2850 1341 561 1066 1109 181 1316 512 1368 1066 1109 1336 224 1310 770 1335 987 1326 1314 1247 488 1237 1223 223 5 1255 805 1333 387 1066 1298 1310 1225 2850 1213 878 1227 1373 780 1066 1200 1345 1310 770 2850 1137 546 1310 1066 1321 355 104 1293 1217 1210 1249 1310 1233 498 986 1310 1196 1066 1293 1242 449 1310 1280 3906 768 1310 770 1296 1066 878 1206 1388 1066 1265 269 298 355 449 1317 1280 1310 770 1041 768 2850 1137 136 465 1310 770 1222 3906 1248 1241 2850 780 4162 1376 1310 770 290 1273 1388 2850 594 52 2850 553 1066 1287 1310 770 1364 343 1066 488 1336 97 301 673 97 1318 1066 1310 770 1269 1066 1299 1087 1388 1255 318 728 2857 1060 1065 64 292 1234 1213 1259 1341 194 1123 1214 1307 1246 36 1213 4587 1297 1222 106 696 1213 594 393 2850 826 1376 826 869 1035 124 1303 1283 1262 1066 826 6060 2048 251 592 239 1243 1213 1337 1066 221 5513 813 1267 647 106 1066 1385 2850 124 1222 1175 290 220 1250 1375 1328 354 1376 220 354 1277 1066 269 1310 770 1314 1247 488 546 1229 1322 1344 158 215 1230 2850 343 1310 770 1308 1235 1226 494 297 1066 1351 2425 1310 1066 1202 207 1285 215 1270 1387 609 904 1066 878 1388 1066 1202 1270 207 1339 701 1323 1295 1226 1300 1358 6060 1367 1322 1387 2382 971 207 1222 1213 551 1274 1253 2850 594 52 178 2850 1329 913 1066 1016 1376 1223 713 1362 343 1066 878 1261 1066 1109 72 1066 1279 124 594 1267 1354 72 1066 1286 117 546 589 670 221 5513 1240 1213 58 1153 64 1066 1220 347 1275 1066 1231 1117 600 1334 713 58 1041 1209 5513 37 1222 1290 1066 1247 393 1213 104 1066 119 290 1355 1341 36 1376 1213 1259 1341 194 1123 1214 1307 1246 36 1213 4587 1297 1006 1199 1200 1066 224 106 1284 301 104 1392 1304 1363 1256 2850 1381 1341 1152 191 1092 1066 528 374 3906 1066 82 1324 1281 1309 7339
9,1396 194 1416 238 29 817 1490 1019 1066 238 1459 285 1499 1428 165 1408 1443 1426 761 93 238 29 1324 238 29 449 1513 2850 553 1066 914 1220 238 29 1066 830 950 50 1396 1496 845 715 3906 264 1472 1396 1483 1475 72 1066 1396 1434 1483 6060 817 131 1066 154 899 1483 1396 1432 1835 518 1483 1528 577 1019 1066 1437 1433 1396 117 1482 1396 518 1483 1528 1421 1354 6060 2850 2089 1508 1835 1483 2850 107 2850 1456 2850 1472 783 2850 1483 301 1066 1396 1385 292 72 1066 1396 6966 1434 1483 449 1066 238 29 1483 4587 1439 1498 20 1527 4587 194 951 181 638 1066 374 194 932 1407 636 1066 1415 487 518 1483 1528 1396 194 932 1465 290 1066 951 628 6966 487 2850 1412 2850 1452 131 1402 1835 1449 72 1066 1396 1066 617 2850 1524 427 1526 2850 5274 325 414 5274 131 1423 1501 467 131 72 1066 1396 6966 718 781 290 2850 131 1835 72 1396 2411 1458 718 781 460 1152 358 487 1396 1507 1114 1483 1396 1179 374 2850 1434 638 1507 1022 50 1447 1507 1466 1944 1491 1470 1507 1483 951 181 638 1507 194 1515 937 2850 1466 312 1507 2850 553 1066 226 937 3356 1507 453 1066 82 535 937 23 1477 224 1454 6730 1066 1396 510 6730 1507 937 1515 290 685 92 1474 267 265 937 937 265 937 1179 1066 440 659 1066 1396 3906 82 1411 312 1066 237 1507 1066 1109 181 1454 59 1519 238 436 1354 971 1507 1493 1179 1066 194 1521 1509 988 194 1521 1509 4587 1066 571 505 487 1490 1066 897 440 1507 1528 1179 2850 618 487 1463 520 1396 127 1396 1179 2850 1478 1483 1507 520 1396 3906 20 278 1066 308 1424 1489 168 127 127 20 1460 487 1495 1472 1420 1435 951 1472 2710 1396 592 127 413 2850 1472 290 6730 582 1066 1066 1471 1396 1066 1046 1396 72 2850 553 1066 82 1415 1504 127 460 1472 914 1066 13 1066 194 1396 1318 1179 1066 618 104 127 1463 1396 1440 1506 1114 1483 1507 1396 1179 374 2850 1492 1440 1506 1487 1455 1440 1440 1506 1451 322 1404 445 520 1440 1506 2850 290 312 20 505 1500 1467 1520 1011 34 50 1479 1066 290 238 29 2692 440 1464 1440 1506 3392 1525 238 1442 1011 29 1011 29 1440 1506 950 374 2850 238 29 34 449 1835 290 1440 1506 301 691 1518 505 487 1468 6 1066 1440 1506 1427 1518 390 1480 1501 1440 1506 617 2850 498 487 612 788 1440 1506 1419 1490 190 1066 82 312 1109 1440 1506 1396 1083 1127 1066 878 1490 1396 3536 1505 1512 1486 1522 72 1066 1471 1396 1512 430 1399 1397 505 1399 1280 996 1409 1406 899 1440 1506 1520 29 4820 1066 2850 1481 1511 1490 72 1995 1511 1396 3392 768 29 1410 2850 1412 1429 1396 72 449 1516 1396 72 2692 1439 2461 1422 1242 1401 136 1396 315 1802 839 2089 84 3874 1080 117 1476 1396 72 3906 1410 82 1220 238 29 1083 1512 3906 137 1399 1497 618 1511 1396 72 1137 477 1471 1512 1418 1242 1413 1066 2850 1490 1438 1250 117 1525 1401 1399 181 1066 645 387 1177 1066 1461 2850 1490
10,1621 1766 1694 1770 1533 817 1066 1588 1744 1273 1700 1066 1556 1646 865 739 1678 1746 1597 1739 2850 207 194 1544 1588 1678 1674 1590 1672 1538 1678 1721 1588 1364 1066 657 1547 435 1491 1747 1066 639 805 1708 1572 1782 1571 1665 290 1621 1550 1744 754 729 290 769 2850 1668 1531 1609 136 1770 1652 362 1543 1758 1770 1061 1770 445 1723 1782 1608 270 1022 1614 1755 445 1066 1530 1749 188 178 748 950 224 1600 733 1647 1771 1066 1735 1612 1066 1711 279 2850 1564 1245 1740 1643 1548 374 1710 2850 1784 1752 1589 206 1066 1754 2850 1684 1742 1777 1658 1658 1575 1685 2850 251 1066 184 1725 1668 804 1182 104 1764 1587 1774 1763 449 1668 6060 413 826 1605 1668 1606 826 1774 2625 1698 1716 92 1727 1772 2850 1625 780 1573 1586 1768 1561 1571 1384 1738 445 1686 1767 1552 1667 1267 2850 1779 1671 1617 739 5300 1622 1066 1585 1593 1066 1066 1618 194 1101 2850 2425 1751 1677 891 2048 1066 1726 206 1066 885 1571 50 293 1582 239 1695 1588 1660 1066 1629 1615 1601 1693 1736 1537 1578 1152 1624 1066 639 1571 485 595 445 1668 1551 1565 1732 1267 716 1063 1542 817 50 1762 1583 1760 239 1134 1702 1665 2850 595 445 390 1419 1603 1066 154 1535 2850 1678 2850 1679 1719 2850 1160 1066 780 2850 1757 748 1638 1650 1325 1728 1678 104 1756 1692 1596 104 1663 595 445 1783 1581 1588 1611 1570 1066 135 1595 1242 1621 1714 1744 1570 1066 445 135 1534 595 445 1733 1686 100 1066 1591 1712 1553 1687 1637 1690 1686 2857 1655 325 659 1673 1584 1613 1066 1645 1699 1706 1720 1066 595 445 1765 1704 1662 104 1669 1633 1083 732 206 1066 817 1066 1591 1066 1713 1656 2850 207 413 48 1066 780 207 1649 900 1775 1575 1412 1561 2850 1775 195 748 1714 912 1101 895 1770 1716 780 748 1770 737 1750 117 50 1412 290 3906 1634 1594 1767 1716 1594 780 2850 1628 1743 1630 1769 1565 930 145 3906 1134 1745 534 1632 748 1383 595 2850 1654 2850 1584 1526 1636 1008 931 733 1602 1718 1546 930 1696 1584 1526 1018 1781 1412 1678 1170 1737 1746 1383 1559 140 369 1768 1631 1079 1644 481 1706 1657 1557 1653 884 884 1619 388 224 190 754 435 1626 1740 1610 1616 477 891 1706 2850 293 1022 1741 1607 1555 1661 1429 930 1705 1536 293 239 1615 1066 649 713 125 15 1066 66 1676 2850 1715 1682 1730 1113 1541 1707 1659 206 819 570 1701
