Token,ID,Frequency
horrible,0,1
personal,1,14
aggression,2,1
race,3,5
explode,4,2
emotional,5,12
percent,6,12
infection,7,7
develop,8,22
covid,9,6
reader,10,24
bake,11,3
pink,12,1
expose,13,7
proclivity,14,1
wish,15,7
irrational,16,2
beast,17,1
bring,18,19
walk,19,17
actually,20,17
turn,21,25
vulnerable,22,8
evidence,23,12
compassionate,24,2
room,25,10
thankful,26,1
love,27,19
psychiatric,28,2
health,29,23
superiority,30,1
hopeful,31,1
trip,32,1
meredith,33,1
well,34,40
stress,35,13
people,36,60
home,37,18
boon,38,1
cabin,39,2
juliette,40,1
flare,41,1
hate,42,8
festoon,43,1
day,44,49
sadness,45,3
universal,46,1
sanction,47,2
point,48,36
quick,49,12
being,50,2
seat,51,1
field,52,15
talk,53,26
prone,54,3
challenging,55,3
impossible,56,4
heavy,57,3
lot,58,31
rest,59,15
tongue,60,2
push,61,9
ryan,62,2
revolve,63,1
government,64,8
program,65,12
show,66,22
nonexistent,67,1
cfs,68,1
taste,69,5
virus,70,7
deep,71,18
exposure,72,11
chasm,73,2
resilient,74,2
plan,75,14
meal,76,3
exempt,77,1
lock,78,2
peace,79,5
remain,80,12
task,81,11
help,82,50
bet,83,4
week,84,26
staff,85,4
informative,86,2
fashion,87,6
emotionally,88,4
cookie,89,2
curate,90,3
holiday,91,2
experience,92,33
therapy,93,8
feeling,94,10
piss,95,2
admit,96,3
set,97,33
anxiety,98,11
dream,99,15
environment,100,16
able,101,14
continue,102,10
age,103,12
like,104,68
delusion,105,1
future,106,17
away,107,25
thank,108,14
marie,109,1
lavender,110,1
compartmentalize,111,2
reserve,112,2
conceptual,113,2
damaging,114,3
discourage,115,2
illness,116,7
time,117,66
thing,118,57
change,119,40
repress,120,1
josh,121,2
report,122,16
personality,123,8
world,124,42
hard,125,26
happen,126,40
sad,127,2
betray,128,2
isolation,129,2
realise,130,1
study,131,27
torture,132,4
infiltrate,133,1
tame,134,1
self,135,18
long,136,40
cause,137,19
unease,138,1
inferiority,139,1
reason,140,24
circumstance,141,5
writer,142,34
mother,143,2
serenity,144,1
result,145,32
general,146,16
step,147,18
myriad,148,4
unit,149,1
look,150,43
accept,151,4
learn,152,39
critical,153,4
find,154,63
stability,155,2
soul,156,4
mechanically,157,1
year,158,51
appreciate,159,3
redundancy,160,3
powerlessness,161,1
inflated,162,1
uncertainty,163,3
background,164,5
unsplash,165,19
father,166,7
sorry,167,4
disorder,168,9
grateful,169,2
minion,170,1
gender,171,2
violence,172,1
harsh,173,1
merry,174,1
ex,175,4
leadership,176,6
prioritize,177,6
take,178,43
cyber,179,1
ringleader,180,1
good,181,57
vigilant,182,1
trial,183,2
recognize,184,11
narcissistically,185,1
critique,186,2
aggressive,187,1
know,188,61
let,189,27
way,190,60
potential,191,24
decorate,192,1
matter,193,26
natural,194,14
case,195,27
hypochondriac,196,1
unfortunately,197,6
smell,198,6
tree,199,5
riemer,200,1
inspire,201,9
impose,202,2
christmas,203,3
sister,204,2
make,205,41
want,206,48
life,207,49
contentment,208,1
imagine,209,12
24,210,5
prospect,211,4
decoration,212,1
purport,213,1
brother,214,1
old,215,20
motivate,216,4
tricky,217,1
consequence,218,3
bullying,219,1
story,220,26
come,221,51
control,222,18
happy,223,12
work,224,62
note,225,20
prepare,226,8
spend,227,21
10–12,228,1
significant,229,7
emotion,230,9
cross,231,2
limit,232,12
breath,233,5
compassion,234,2
grandeur,235,1
carol,236,1
create,237,37
mental,238,16
human,239,29
notice,240,18
dry,241,3
define,242,12
activity,243,15
ornament,244,1
visualize,245,4
manifestation,246,2
school,247,11
clay,248,1
cheesy,249,1
mixed,250,2
important,251,35
news,252,11
destigmatize,253,1
crappy,254,1
job,255,20
interaction,256,6
vol,257,1
survey,258,4
link,259,18
